School_ID,NAME_OF_SCHOOL,Street_Address,City,ZIP_Code,Network_Manager,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,HEALTHY_SCHOOL_CERTIFIED,Safety_Icon ,SAFETY_SCORE,Longitude,Latitude,COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME,Ward,Police_District
610383,Greater Lawndale High School For Social Justice,3120 S Kostner Ave ,Chicago,60623,West Side High School Network,Probation,Level 3,No,Average,43,-87.73419465,41.83601953,30,SOUTH LAWNDALE,22,10
609857,Grover Cleveland Elementary School,3121 W Byron St ,Chicago,60618,O'Hare Elementary Network,Not on Probation,Level 1,No,Strong,64,-87.70642927,41.9520147,16,IRVING PARK,33,17
610241,Guglielmo Marconi Elementary Community Academy,230 N Kolmar Ave ,Chicago,60624,Garfield-Humboldt Elementary Network,Probation,Level 3,No,Weak,26,-87.73936153,41.88431659,26,WEST GARFIELD PARK,28,11
609741,Gurdon S Hubbard High School,6200 S Hamlin Ave ,Chicago,60629,Southwest Side High School Network,Not on Probation,Level 2,No,Average,42,-87.71804991,41.78050763,65,WEST LAWN,13,8
609726,Gwendolyn Brooks College Preparatory Academy High School,250 E 111th St ,Chicago,60628,Far South Side High School Network,Not on Probation,Level 1,No,Strong,64,-87.61638144,41.69278956,49,ROSELAND,9,5
610182,Hannah G Solomon Elementary School,6206 N Hamlin Ave ,Chicago,60659,O'Hare Elementary Network,Not on Probation,Level 1,No,Strong,78,-87.72407991,41.99397007,13,NORTH PARK,39,17
610068,Hanson Park Elementary School,5411 W Fullerton Ave ,Chicago,60639,Fullerton Elementary Network,Not on Probation,Level 2,No,Weak,35,-87.76152094,41.92392771,19,BELMONT CRAGIN,37,25
610124,Harold Washington Elementary School,9130 S University Ave ,Chicago,60619,Skyway Elementary Network,Not on Probation,Level 2,No,Weak,28,-87.59629327,41.72853492,47,BURNSIDE,8,4
610192,Harriet Beecher Stowe Elementary School,3444 W Wabansia Ave ,Chicago,60647,Garfield-Humboldt Elementary Network,Probation,Level 3,No,Weak,28,-87.7132855,41.91196584,23,HUMBOLDT PARK,26,14
610158,Harriet E Sayre Elementary Language Academy,1850 N Newland Ave ,Chicago,60707,Austin-North Lawndale Elementary Network,Not on Probation,Level 2,No,Strong,68,-87.79875667,41.9141236,25,AUSTIN,36,25
609974,Hawthorne Elementary Scholastic Academy,3319 N Clifton Ave ,Chicago,60657,Ravenswood-Ridge Elementary Network,Not on Probation,Level 1,Yes,Very Strong,92,-87.65767253,41.94228994,6,LAKE VIEW,44,19
609985,Helen M Hefferan Elementary School,4409 W Wilcox St ,Chicago,60624,Garfield-Humboldt Elementary Network,Not on Probation,Level 2,No,Weak,29,-87.73583687,41.87863685,26,WEST GARFIELD PARK,28,11
610122,Helen Peirce International Studies Elementary School,1423 W Bryn Mawr Ave ,Chicago,60660,Ravenswood-Ridge Elementary Network,Not on Probation,Level 2,No,Average,58,-87.66586537,41.98342819,77,EDGEWATER,48,20
609972,Helge A Haugan Elementary School,4540 N Hamlin Ave ,Chicago,60625,O'Hare Elementary Network,Not on Probation,Level 2,No,Average,43,-87.72316496,41.96403525,14,ALBANY PARK,39,17
609856,Henry Clay Elementary School,13231 S Burley Ave ,Chicago,60633,Lake Calumet Elementary Network,Not on Probation,Level 2,No,Weak,38,-87.544577,41.65455937,55,HEGEWISCH,10,4
610040,Henry D Lloyd Elementary School,2103 N Lamon Ave ,Chicago,60639,Fullerton Elementary Network,Probation,Level 3,No,NDA,,-87.74847861,41.91883022,19,BELMONT CRAGIN,31,25
610092,Henry H Nash Elementary School,4837 W Erie St ,Chicago,60644,Austin-North Lawndale Elementary Network,Probation,Level 3,No,Average,41,-87.74720292,41.89214724,25,AUSTIN,28,15
610279,Henry O Tanner Elementary School,7350 S Evans Ave ,Chicago,60619,Skyway Elementary Network,Probation,Level 3,No,Weak,33,-87.60682834,41.76069854,69,GREATER GRAND CROSSING,6,3
609861,Henry R Clissold Elementary School,2350 W 110th Pl ,Chicago,60643,Rock Island Elementary Network,Not on Probation,Level 2,No,Average,45,-87.6808619,41.69305404,75,MORGAN PARK,19,22
610297,High School of Leadership at South Shore,7627 S Constance Ave ,Chicago,60649,South Side High School Network,Probation,Level 3,No,NDA,,-87.57960727,41.75619362,43,SOUTH SHORE,8,4
609798,Hiram H Belding Elementary School,4257 N Tripp Ave ,Chicago,60641,O'Hare Elementary Network,Not on Probation,Level 2,No,Strong,64,-87.73398223,41.95890499,16,IRVING PARK,38,17
609768,Hope College Preparatory High School,5515 S Lowe Ave ,Chicago,60621,Southwest Side High School Network,Probation,Level 3,No,Weak,31,-87.64134488,41.79355292,68,ENGLEWOOD,3,7
609850,Horace Greeley Elementary School,832 W Sheridan Rd ,Chicago,60613,Ravenswood-Ridge Elementary Network,Not on Probation,Level 1,No,Strong,65,-87.65097549,41.95283701,6,LAKE VIEW,46,19
610052,Horace Mann Elementary School,8050 S Chappel Ave ,Chicago,60617,Skyway Elementary Network,Probation,Level 3,No,Weak,28,-87.57485274,41.74830012,46,SOUTH CHICAGO,8,4
610058,Horatio May Elementary Community Academy,512 S Lavergne Ave ,Chicago,60644,Austin-North Lawndale Elementary Network,Probation,Level 3,No,Average,42,-87.74931216,41.87358321,25,AUSTIN,29,15
609713,Hyde Park Academy High School,6220 S Stony Island Ave ,Chicago,60637,South Side High School Network,Probation,Level 3,No,Weak,29,-87.58665115,41.78223539,42,WOODLAWN,5,3
610390,Hyman G Rickover Naval Academy High School,5900 N Glenwood Ave ,Chicago,60660,North-Northwest Side High School Network,Not on Probation,Level 2,No,Strong,64,-87.66526222,41.98905063,77,EDGEWATER,48,20
610110,Ida B Wells Preparatory Elementary Academy,244 E Pershing Rd ,Chicago,60653,Burnham Park Elementary Network,Probation,Level 3,No,Average,49,-87.61978794,41.82390751,35,DOUGLAS,3,2
610273,Ignance Paderewski Elementary Learning Academy,2221 S Lawndale Ave ,Chicago,60623,Pilsen-Little Village Elementary Network,Probation,Level 3,No,Weak,31,-87.71726618,41.85094816,30,SOUTH LAWNDALE,22,10
610384,Infinity Math Science and Technology High School,3120 S Kostner Ave ,Chicago,60623,West Side High School Network,Not on Probation,Level 2,No,Average,58,-87.73419465,41.83601953,30,SOUTH LAWNDALE,22,10
610078,Inter-American Elementary Magnet School,851 W Waveland Ave ,Chicago,60613,Ravenswood-Ridge Elementary Network,Not on Probation,Level 1,No,Strong,67,-87.65153745,41.94897646,6,LAKE VIEW,44,19
609848,Ira F Aldridge Elementary School,630 E 131st St ,Chicago,60827,Lake Calumet Elementary Network,Probation,Level 3,No,Weak,39,-87.60649623,41.65743243,54,RIVERDALE,9,5
610532,Irene C. Hernandez Middle School for the Advancement of Science,3510 W 55th St ,Chicago,60632,Midway Elementary Network,Not on Probation,Not Enough Data,No,Weak,34,-87.71139803,41.79350627,63,GAGE PARK,14,8
610125,Irma C Ruiz Elementary School,2410 S Leavitt St ,Chicago,60608,Pilsen-Little Village Elementary Network,Not on Probation,Level 2,Yes,Average,57,-87.68078114,41.84809742,31,LOWER WEST SIDE,25,10
610276,Irvin C Mollison Elementary School,4415 S Dr Martin L King Jr Dr ,Chicago,60653,Burnham Park Elementary Network,Probation,Level 3,No,Average,44,-87.61658079,41.81434006,38,GRAND BOULEVARD,3,2
610103,Isabelle C O'Keeffe Elementary School,6940 S Merrill Ave ,Chicago,60649,Skyway Elementary Network,Probation,Level 3,No,Very Weak,17,-87.57284299,41.76861557,43,SOUTH SHORE,5,3
610256,Jackie Robinson Elementary School,4225 S Lake Park Ave ,Chicago,60653,Burnham Park Elementary Network,Probation,Level 3,No,NDA,,-87.59903174,41.81735839,36,OAKLAND,4,2
609797,Jacob Beidler Elementary School,3151 W Walnut St ,Chicago,60612,Garfield-Humboldt Elementary Network,Not on Probation,Level 2,No,Strong,63,-87.70581859,41.88529401,27,EAST GARFIELD PARK,27,13
609766,Jacqueline B Vaughn Occupational High School,4355 N Linder Ave ,Chicago,60641,North-Northwest Side High School Network,Not Applicable,Not Enough Data,No,Average,57,-87.76462602,41.96035141,15,PORTAGE PARK,38,16
609912,James B Farnsworth Elementary School,5414 N Linder Ave ,Chicago,60630,O'Hare Elementary Network,Not on Probation,Level 2,No,Average,55,-87.76610809,41.9798092,11,JEFFERSON PARK,45,16
610070,James B McPherson Elementary School,4728 N Wolcott Ave ,Chicago,60640,Ravenswood-Ridge Elementary Network,Not on Probation,Level 2,No,Strong,71,-87.67632505,41.96784758,4,LINCOLN SQUARE,47,19
610066,James E McDade Elementary Classical School,8801 S Indiana Ave ,Chicago,60619,Skyway Elementary Network,Not on Probation,Level 1,No,Very Strong,99,-87.61917677,41.73451387,44,CHATHAM,6,6
609803,James G Blaine Elementary School,1420 W Grace St ,Chicago,60613,Ravenswood-Ridge Elementary Network,Not on Probation,Level 1,No,Very Strong,99,-87.66495825,41.95080812,6,LAKE VIEW,44,19
609983,James Hedges Elementary School,4747 S Winchester Ave ,Chicago,60609,Pershing Elementary Network,Not on Probation,Level 2,No,Weak,22,-87.67329121,41.80713406,61,NEW CITY,20,9
610047,James Madison Elementary School,7433 S Dorchester Ave ,Chicago,60619,Skyway Elementary Network,Probation,Level 2,No,Weak,39,-87.59067582,41.75955224,43,SOUTH SHORE,5,3
610074,James Monroe Elementary School,3651 W Schubert Ave ,Chicago,60647,Fullerton Elementary Network,Probation,Level 2,No,Average,45,-87.71921246,41.92996135,22,LOGAN SQUARE,35,25
610200,James N Thorp Elementary School,8914 S Buffalo Ave ,Chicago,60617,Skyway Elementary Network,Probation,Level 3,No,Weak,32,-87.54451462,41.73331035,46,SOUTH CHICAGO,10,4
610107,James Otis Elementary School,525 N Armour St ,Chicago,60622,Fulton Elementary Network,Probation,Level 1,No,Very Strong,83,-87.66538928,41.89179703,24,WEST TOWN,27,13
609891,James R Doolittle Jr Elementary School,535 E 35th St ,Chicago,60616,Burnham Park Elementary Network,Probation,Level 3,No,Weak,30,-87.61291629,41.8310921,35,DOUGLAS,4,2
610044,James Russell Lowell Elementary School,3320 W Hirsch St ,Chicago,60651,Garfield-Humboldt Elementary Network,Probation,Level 2,No,Weak,39,-87.71023279,41.90654684,23,HUMBOLDT PARK,26,14
610174,James Shields Elementary School,4250 S Rockwell St ,Chicago,60632,Pershing Elementary Network,Not on Probation,Level 2,No,Weak,38,-87.68968453,41.81593528,58,BRIGHTON PARK,12,9
610213,James Wadsworth Elementary School,6420 S University Ave ,Chicago,60637,Burnham Park Elementary Network,Probation,Level 3,No,NDA,,-87.59815597,41.77812652,42,WOODLAWN,20,3
610217,James Ward Elementary School,2701 S Shields Ave ,Chicago,60616,Pershing Elementary Network,Not on Probation,Level 1,No,Average,49,-87.63531815,41.84395162,34,ARMOUR SQUARE,11,9
