ID,CASE_NUMBER,BLOCK,IUCR,PRIMARY_TYPE,DESCRIPTION,LOCATION_DESCRIPTION,ARREST,DOMESTIC,BEAT,DISTRICT,WARD,COMMUNITY_AREA_NUMBER,FBICODE,YEAR,LONGITUDE,LATITUDE
5378309,HN224900,023XX S WASHTENAW AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,1034,10,28,30,04B,2007,-87.69290967,41.84887283
6982403,HR387668,021XX W 63RD ST,460,BATTERY,SIMPLE,SIDEWALK,TRUE,FALSE,726,7,15,67,08B,2009,-87.67697216,41.77927306
2679112,HJ294892,048XX W HURON ST,460,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,1532,15,28,25,08B,2003,-87.74693211,41.89315175
4448011,HL745027,0000X E 69TH ST,460,BATTERY,SIMPLE,STREET,TRUE,FALSE,322,3,6,69,08B,2005,-87.62455576,41.76918098
1729799,G533278,045XX S DREXEL BL,041A,BATTERY,AGGRAVATED: HANDGUN,OTHER,FALSE,FALSE,2123,2,,,04B,2001,-87.60456282,41.81158406
2495142,HH827769,050XX W DIVISION ST,460,BATTERY,SIMPLE,OTHER COMMERCIAL TRANSPORTATION,FALSE,FALSE,2533,25,37,25,08B,2002,-87.75117933,41.90229796
2341955,HH639427,005XX N WALLER AVE,460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1512,15,29,25,08B,2002,-87.76778089,41.89045993
3672175,HK771992,018XX S SAWYER AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,1022,10,24,29,08B,2004,-87.70660101,41.85628102
2584554,HH867007,040XX W IRVING PARK RD,499,BATTERY,AGGRAVATED DOMESTIC BATTERY,RESIDENCE,TRUE,TRUE,1732,17,39,16,04B,2002,-87.72822799,41.95364179
2903068,HJ575773,016XX W MADISON ST,460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,1211,12,2,28,08B,2003,-87.66783781,41.88144179
6720028,HR136920,014XX S BLUE ISLAND AVE,460,BATTERY,SIMPLE,CHA APARTMENT,FALSE,FALSE,1231,12,2,28,08B,2009,-87.65744617,41.86221801
8223830,HT457930,041XX W NORTH AVE,460,BATTERY,SIMPLE,SMALL RETAIL STORE,FALSE,FALSE,2534,25,30,23,08B,2011,-87.72927735,41.90984675
1363954,G070193,004XX W WRIGHTWOOD AV,460,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,2333,19,,,08B,2001,-87.640214,41.93119046
3020236,HJ724585,015XX S HAMLIN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1014,10,24,29,08B,2003,-87.72012274,41.86025361
6016285,HP121474,026XX N HALSTED ST,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,1933,19,43,7,08B,2008,-87.64891033,41.92970038
1465880,G198370,0000X N PINE AV,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,FALSE,TRUE,1522,15,,,04B,2001,-87.76309792,41.88181984
3017838,HJ723825,044XX S DREXEL BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2123,2,4,39,08B,2003,-87.60447613,41.81437718
2804858,HJ458342,015XX N WELLS ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1821,18,43,8,08B,2003,-87.63467747,41.91014987
6481371,HP558812,041XX W 57TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,813,8,13,62,08B,2008,-87.7263965,41.78954227
10003235,HY192694,064XX S OAKLEY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,FALSE,825,8,15,66,08B,2015,-87.68100012,41.77651055
5663639,HN472326,010XX N KEYSTONE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1111,11,37,23,08B,2007,-87.72744421,41.89973555
3663835,HK756778,054XX S LAFLIN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,932,9,16,61,08B,2004,-87.66218586,41.79509079
2423472,HH741961,010XX N WALLER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,1511,15,29,25,08B,2002,-87.76798167,41.89934404
11110571,JA460432,076XX S HOMAN AVE,460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,835,8,18,70,08B,2017,-87.70746025,41.75412154
1419496,G140454,077XX S SOUTH SHORE DR,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,421,4,,,08B,2001,-87.55284517,41.75627357
9589300,HX239866,003XX S MOZART ST,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,FALSE,FALSE,1124,11,2,27,04B,2014,-87.6974036,41.87688097
4766490,HM378171,044XX S PRINCETON AVE,460,BATTERY,SIMPLE,STREET,TRUE,FALSE,935,9,3,37,08B,2006,-87.63350864,41.81425311
9035595,HW182288,046XX S LANGLEY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,221,2,4,38,08B,2013,-87.60901434,41.81075326
10549382,HZ295843,015XX S HOMAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,1021,10,24,29,08B,2016,-87.7103668,41.86010231
5080475,HM673431,094XX S WENTWORTH AVE,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,FALSE,TRUE,634,6,21,49,04B,2006,-87.62868748,41.72256142
6270946,HP352546,051XX S WOOD ST,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,932,9,16,61,08B,2008,-87.66963358,41.80082022
6939024,HR286405,052XX W CONGRESS PKWY,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1522,15,29,25,08B,2009,-87.75558951,41.87393649
6780581,HR195987,001XX W 75TH ST,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,SIDEWALK,TRUE,FALSE,731,7,6,69,04B,2009,-87.62865724,41.75817139
9116765,HW261668,003XX N PULASKI RD,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1114,11,28,26,08B,2013,-87.72582411,41.88619239
11137994,JA496716,008XX N WASHTENAW AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,1211,12,26,24,08B,2017,-87.69424841,41.89614452
11014534,JA344492,009XX E 132ND PL,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,533,5,9,54,08B,2017,-87.59733674,41.65527698
10584429,HZ334220,023XX W PRATT BLVD,460,BATTERY,SIMPLE,STREET,TRUE,FALSE,2412,24,50,2,08B,2016,-87.68862676,42.00505013
6806337,HR217367,051XX W KINZIE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,1532,15,28,25,08B,2009,-87.75348849,41.88783376
8594911,HV268964,030XX S HAYNES CT,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,913,9,11,60,14,2012,-87.65639763,41.83876214
11127628,JA483294,072XX S DAMEN AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,FALSE,FALSE,735,7,17,67,14,2017,-87.67347381,41.76252653
7937542,HT169840,029XX W 36TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,FALSE,FALSE,913,9,12,58,14,2011,-87.698792,41.82818901
8388644,HT621306,067XX W IMLAY ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1611,16,41,10,14,2011,-87.796138,41.99902303
7468176,HS269736,051XX S INGLESIDE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,2124,2,4,41,14,2010,-87.60287886,41.80192174
3225932,HK243330,106XX S EWING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,432,4,10,52,14,2004,-87.53528303,41.70176349
